dataset,system,class,M,frequency,Phi,nearest_zero,delta_percent
ARGENTO,XTE J1650-500,stellar,8.2,250.0,146.42857142857142,146.000982486766,0.2928671674138788
ARGENTO,H 1743-322 (160),stellar,10.0,160.0,114.28571428571429,114.320220915453,0.030184187418807303
ARGENTO,H 1743-322 (240),stellar,10.0,240.0,171.42857142857142,169.911976479412,0.8925768392454523
ARGENTO,XTE J1752-223,stellar,8.5,200.0,121.42857142857143,121.370125002421,0.04815552933578945
ARGENTO,4U 1630-47,stellar,9.5,210.0,142.5,143.111845807621,0.4275298136001071
ARGENTO,MAXI J1659-152,stellar,6.0,170.0,72.85714285714286,72.067157674482,1.096179186404322
ARGENTO,GRO J0422+32,stellar,5.0,140.0,50.0,49.773832477672,0.4543904117277974
ARGENTO,XTE J1859+226 (150),stellar,7.8,150.0,83.57142857142857,82.910380854086,0.7973039208515365
ARGENTO,XTE J1118+480,stellar,6.8,130.0,63.142857142857146,65.112544048082,3.0250498333629077
ARGENTO,XTE J1908+094,stellar,7.0,110.0,55.0,56.446247697063,2.5621680024237494
ARGENTO,NGC 5408 X-1 (0.13),imbh,2500.0,0.13,23.214285714285715,25.010857580146,7.18316779064157
ARGENTO,NGC 5408 X-1 (0.20),imbh,2500.0,0.2,35.714285714285715,37.586178158826,4.980268109809743
ARGENTO,Holmberg II X-1 (0.20),imbh,5000.0,0.2,71.42857142857143,72.067157674482,0.8860988368585103
ARGENTO,Holmberg II X-1 (0.30),imbh,5000.0,0.3,107.14285714285714,107.168611184276,0.024031328888437283
ARGENTO,NGC 1313 X-1 (0.10),imbh,5000.0,0.1,35.714285714285715,37.586178158826,4.980268109809743
ARGENTO,M82 X-1 (6.5),imbh,428.0,6.5,198.71428571428572,198.015309676252,0.3529909072063777
ARGENTO,1H 0707-495,agn,2290000.0,0.00026,42.528571428571425,43.327073280915,1.8429628218052436
ARGENTO,MS 2254.9-3712,agn,1000000.0,0.00042,30.0,30.42487612586,1.3964761075851035
ARGENTO,2XMM J123103.2+110648,agn,1800000.0,0.00021,27.0,25.010857580146,7.953115615807644
ARGENTO,Mrk 766,agn,1200000.0,0.00011,9.428571428571429,14.134725141735,33.29497861453218
ARGENTO,GW170104,gw,52.0,230.0,854.2857142857143,854.095511719869,0.02226947258653842
ARGENTO,GW170608,gw,18.5,300.0,396.42857142857144,396.381854222592,0.011785909340145414
ARGENTO,GW170814,gw,61.0,250.0,1089.2857142857142,1089.795337924075,0.04676324265908546
ARGENTO,GW190412,gw,28.0,240.0,480.0,478.942181534635,0.22086558798716294
ARGENTO,GW190814,gw,23.0,280.0,460.0,460.087944422176,0.01911469823154299
ARGENTO,GW200115,gw,7.0,330.0,165.0,165.5370691879,0.3244404353265215
