dataset,M0,mean_dev_percent,median_dev_percent,count_below
ARGENTO,10.0,0.7156572889838501,0.3897610089640009,12
ARGENTO,10.25,1.0750102291060621,0.2782413417077861,12
ARGENTO,10.5,1.1201715175654765,0.43237590896334316,7
ARGENTO,10.75,1.512494796555533,0.4591837880191329,10
ARGENTO,11.0,1.8134705446912682,0.7016766167913586,6
ARGENTO,11.25,1.4926046927216672,0.21367572655738784,13
ARGENTO,11.5,1.3838254725672923,0.31126324067673516,12
ARGENTO,11.75,1.9283522842636445,0.5296963916693747,11
ARGENTO,12.0,2.1188643790439365,0.5261937533480974,7
ARGENTO,12.25,1.8070904892291997,0.3693229921506097,8
ARGENTO,12.5,1.8699373265250754,0.7839426562497667,7
ARGENTO,12.75,2.065680603159508,0.6441543634757961,7
ARGENTO,13.0,2.008687715401603,0.28646833003219985,10
ARGENTO,13.25,2.1005994563735046,0.45262897068604907,6
ARGENTO,13.5,2.3337061478291905,0.6598405970815603,7
ARGENTO,13.75,2.5784784082139223,0.5613332202275461,9
ARGENTO,14.0,2.814077018494612,0.625847166289667,7
ARGENTO,14.25,3.0129934895842263,0.6229503097540301,8
ARGENTO,14.5,2.647114328692759,0.36697224481153123,8
ARGENTO,14.75,2.5931581807830484,0.6916718087715036,7
ARGENTO,15.0,2.7103520440456683,0.8097536136387297,5
ARGENTO,15.25,2.632332097949192,0.44990455367032306,7
ARGENTO,15.5,2.732760451076169,0.854511512575282,6
ARGENTO,15.75,2.8839442239529993,0.5986191857750502,6
ARGENTO,16.0,2.9530083996769476,0.9642019355737396,6
ARGENTO,16.25,2.9240130521514893,0.7731779855168143,9
ARGENTO,16.5,3.086376940119721,0.5353724920629725,6
ARGENTO,16.75,3.064847141587153,0.3649351147987351,9
ARGENTO,17.0,3.4611175677948682,0.9255725247318833,5
ARGENTO,17.25,3.4945446933694404,0.5152368414525352,7
ARGENTO,17.5,3.6874607893801445,1.1946132861569176,6
ARGENTO,17.75,3.661550365315544,0.4491829800673726,9
ARGENTO,18.0,3.800827308525904,0.4119097943166618,9
