system;class;phi;nearest_zero;relative_deviation;relative_deviation_percent
GRS 1915+105;stellar;67;67.0798105295;0.00118978465896;0.11897847
GRO J1655-40 (300);stellar;135;134.756509753;0.00180689042089;0.18068904
GRO J1655-40 (451);stellar;202.95;202.493594514;0.0022539255474;0.22539255
XTE J1550-564 (184);stellar;119.6;118.790782866;0.00681212055768;0.68121206
XTE J1550-564 (276);stellar;179.4;179.91648402;0.00287068760303;0.28706876
XTE J1859+226;stellar;126.75;127.51668388;0.00601242014982;0.60124201
M82 X-1 (3.3);imbh;100.885714286;101.317851006;0.00426515876252;0.42651588
M82 X-1 (5.0);imbh;152.857142857;153.024693811;0.00109492755635;0.10949276
NGC 1313 X-1 (0.30);imbh;107.142857143;107.168611184;0.000240313288888;0.02403133
NGC 1313 X-1 (0.45);imbh;160.714285714;161.188964138;0.00294485683837;0.29448568
RE J1034+396;agn;32.5428571429;32.9350615877;0.0119084169264;1.19084169
GW150914;gw;1169.14285714;1169.69835688;0.000474908542667;0.04749085
GW151226;gw;393.714285714;393.427743844;0.00072832146267;0.07283215
GW190521;gw;1470.28571429;1470.96658913;0.000462875803219;0.04628758
